age,comprehension,production,isnorming,birthorder,caregivereducation,race,sex,monolingual
13,158,10,TRUE,Third,College,White,Female,TRUE
14,170,17,TRUE,Second,Some College,White,Female,TRUE
14,210,49,TRUE,Second,Some College,White,Female,TRUE
8,26,2,TRUE,First,Graduate,Asian,Male,TRUE
14,80,30,TRUE,First,College,White,Male,TRUE
11,96,20,TRUE,First,Some College,White,Male,TRUE
15,127,62,TRUE,First,Some College,White,Male,TRUE
12,96,3,TRUE,Second,College,White,Male,TRUE
14,150,31,TRUE,First,College,White,Male,TRUE
11,14,0,TRUE,First,Graduate,White,Female,TRUE
11,94,9,TRUE,Third,Some College,White,Female,TRUE
12,42,1,TRUE,Second,Secondary,White,Male,TRUE
10,106,8,TRUE,First,Some College,White,Female,TRUE
9,19,1,TRUE,First,Some College,White,Male,TRUE
15,219,16,TRUE,Third,Secondary,White,Male,TRUE
12,66,5,TRUE,First,Some College,Black,Male,TRUE
11,21,0,TRUE,Second,Secondary,White,Female,TRUE
8,42,6,TRUE,Second,College,White,Male,TRUE
12,365,20,TRUE,Second,Some College,White,Female,TRUE
15,97,20,TRUE,First,Some College,Other,Female,TRUE
11,141,8,TRUE,Second,Secondary,White,Female,TRUE
11,153,8,TRUE,Second,Secondary,White,Female,TRUE
12,129,18,TRUE,Second,Some College,White,Female,TRUE
12,64,4,TRUE,Second,College,White,Male,TRUE
13,60,14,TRUE,First,Some College,White,Male,TRUE
9,55,8,TRUE,First,Some College,White,Female,TRUE
11,18,9,TRUE,First,College,White,Male,TRUE
10,0,0,TRUE,Second,College,White,Male,TRUE
13,91,0,TRUE,First,Secondary,White,Female,TRUE
14,217,15,TRUE,First,College,White,Female,TRUE
10,8,0,TRUE,First,Graduate,White,Female,TRUE
14,44,4,TRUE,Second,Graduate,White,Female,TRUE
15,282,31,TRUE,First,College,White,Male,TRUE
9,17,0,TRUE,Second,College,Asian,Female,TRUE
15,229,102,TRUE,First,College,White,Female,TRUE
16,109,6,TRUE,Second,Secondary,White,Male,TRUE
16,341,202,TRUE,First,College,White,Male,TRUE
9,2,0,TRUE,First,Some College,White,Male,TRUE
14,243,7,TRUE,Second,College,White,Male,TRUE
12,32,4,TRUE,Second,Secondary,White,Female,TRUE
13,45,1,TRUE,First,Secondary,White,Female,TRUE
14,179,48,TRUE,First,Secondary,White,Male,TRUE
11,54,3,TRUE,First,Graduate,White,Female,TRUE
10,43,7,TRUE,Fourth,College,White,Female,TRUE
10,34,0,TRUE,First,Some College,White,Male,TRUE
15,56,18,TRUE,Fourth,Some College,White,Male,TRUE
12,17,5,TRUE,First,Graduate,White,Male,TRUE
11,126,0,TRUE,First,Graduate,White,Male,TRUE
16,158,110,TRUE,Third,Some College,White,Female,TRUE
11,91,6,TRUE,Second,Some College,White,Female,TRUE
15,239,44,TRUE,First,Graduate,White,Male,TRUE
15,158,75,TRUE,First,Graduate,White,Female,TRUE
12,52,6,TRUE,First,College,White,Female,TRUE
